x,wallShearStress_0,wallShearStress_1,wallShearStress_2
0.10000458,-0.00032457909,-1.8068265e-06,-1.5239549e-21
0.39775998,-0.0003937587,-5.2253036e-05,-1.9208239e-20
0.70039081,-0.00041521696,-5.992175e-05,-4.3188474e-20
0.99909327,-0.00035279872,-5.062617e-05,5.9987677e-22
1.3017854,-0.00030257493,-4.2419491e-05,-6.8050495e-23
1.6007759,-0.00024173118,-2.5367088e-05,1.5267556e-23
1.9000332,-0.00021760038,-2.6292786e-06,-2.3192016e-21
2.2,-0.00021755101,-1.5104428e-23,0
2.5,-0.00021755101,-9.4644212e-23,-9.5990935e-35
2.8,-0.00021755101,-5.9020296e-20,-1.7088836e-41
3.1,-0.00021755101,9.5968014e-23,0
3.4,-0.00021755101,-2.4225313e-23,0
3.7,-0.00021755101,4.5441008e-23,-3.3213494e-35
4,-0.00021755101,-5.6747363e-20,-2.0538565e-42
4.3,-0.00021755101,-1.6065131e-23,0
4.6,-0.00021755101,2.5837404e-23,0
4.9,-0.00021755101,-1.7778532e-23,0
5.2,-0.00021755101,1.4562087e-23,0
5.5,-0.00021755101,2.3852557e-24,0
5.8,-0.00021755101,1.0300399e-22,0
6.1,-0.00021755101,-7.7123221e-24,0
6.4,-0.00021755101,2.6112475e-20,-4.6762783e-36
6.7,-0.00021755101,-2.0192398e-23,0
7,-0.00021755006,7.8542066e-09,-5.7928424e-28
7.2998928,-0.00022882583,1.8285178e-05,5.8670801e-22
7.6001892,-0.00028089875,3.7824085e-05,-9.4847494e-21
7.8995713,-0.00033886592,4.8555707e-05,-2.0078775e-20
8.2014087,-0.00039040181,5.6264687e-05,9.1920869e-23
8.7994087,-0.00032876693,1.3857486e-05,3.3120765e-23
