x/h,y/h,z/h
8.0,3.002464056,0.0
8.0,2.996275425,0.0
8.0,2.990086555,0.0
8.0,2.983897924,0.0
8.0,2.977709055,0.0
8.0,2.971520424,0.0
8.0,2.965331554,0.0
8.0,2.959142923,0.0
8.0,2.952954054,0.0
8.0,2.946765423,0.0
8.0,2.940576553,0.0
8.0,2.934387922,0.0
8.0,2.928199053,0.0
8.0,2.922010422,0.0
8.0,2.915821552,0.0
8.0,2.909632683,0.0
8.0,2.903444052,0.0
8.0,2.897255182,0.0
8.0,2.891066551,0.0
8.0,2.884877682,0.0
8.0,2.878689051,0.0
8.0,2.872500181,0.0
8.0,2.86631155,0.0
8.0,2.860122681,0.0
8.0,2.85393405,0.0
8.0,2.84774518,0.0
8.0,2.841556549,0.0
8.0,2.83536768,0.0
8.0,2.829179049,0.0
8.0,2.822990179,0.0
8.0,2.816801548,0.0
8.0,2.810612679,0.0
8.0,2.804423809,0.0
8.0,2.798235178,0.0
8.0,2.792046309,0.0
8.0,2.785857677,0.0
8.0,2.779668808,0.0
8.0,2.773480177,0.0
8.0,2.767291307,0.0
8.0,2.761102676,0.0
8.0,2.754913807,0.0
8.0,2.748725176,0.0
8.0,2.742536306,0.0
8.0,2.736347675,0.0
8.0,2.730158806,0.0
8.0,2.723970175,0.0
8.0,2.717781305,0.0
8.0,2.711592674,0.0
8.0,2.705403805,0.0
8.0,2.699215174,0.0
8.0,2.693026304,0.0
8.0,2.686837435,0.0
8.0,2.680648804,0.0
8.0,2.674459934,0.0
8.0,2.668271303,0.0
8.0,2.662082434,0.0
8.0,2.655893803,0.0
8.0,2.649704933,0.0
8.0,2.643516302,0.0
8.0,2.637327433,0.0
8.0,2.631138802,0.0
8.0,2.624949932,0.0
8.0,2.618761301,0.0
8.0,2.612572432,0.0
8.0,2.606383801,0.0
8.0,2.600194931,0.0
8.0,2.5940063,0.0
8.0,2.58781743,0.0
8.0,2.581628561,0.0
8.0,2.57543993,0.0
8.0,2.56925106,0.0
8.0,2.563062429,0.0
8.0,2.55687356,0.0
8.0,2.550684929,0.0
8.0,2.544496059,0.0
8.0,2.538307428,0.0
8.0,2.532118559,0.0
8.0,2.525929928,0.0
8.0,2.519741058,0.0
8.0,2.513552427,0.0
8.0,2.507363558,0.0
8.0,2.501174927,0.0
8.0,2.494986057,0.0
8.0,2.488797426,0.0
8.0,2.482608557,0.0
8.0,2.476419926,0.0
8.0,2.470231056,0.0
8.0,2.464042187,0.0
8.0,2.457853556,0.0
8.0,2.451664686,0.0
8.0,2.445476055,0.0
8.0,2.439287186,0.0
8.0,2.433098555,0.0
8.0,2.426909685,0.0
8.0,2.420721054,0.0
8.0,2.414532185,0.0
8.0,2.408343554,0.0
8.0,2.402154684,0.0
8.0,2.395966053,0.0
8.0,2.389777184,0.0
8.0,2.383588552,0.0
8.0,2.377399683,0.0
8.0,2.371211052,0.0
8.0,2.365022182,0.0
8.0,2.358833313,0.0
8.0,2.352644682,0.0
8.0,2.346455812,0.0
8.0,2.340267181,0.0
8.0,2.334078312,0.0
8.0,2.327889681,0.0
8.0,2.321700811,0.0
8.0,2.31551218,0.0
8.0,2.309323311,0.0
8.0,2.30313468,0.0
8.0,2.29694581,0.0
8.0,2.290757179,0.0
8.0,2.28456831,0.0
8.0,2.278379679,0.0
8.0,2.272190809,0.0
8.0,2.266002178,0.0
8.0,2.259813309,0.0
8.0,2.253624439,0.0
8.0,2.247435808,0.0
8.0,2.241246939,0.0
8.0,2.235058308,0.0
8.0,2.228869438,0.0
8.0,2.222680807,0.0
8.0,2.216491938,0.0
8.0,2.210303307,0.0
8.0,2.204114437,0.0
8.0,2.197925806,0.0
